streetname_nl,house_number,postcode,municipality_name_nl
Goorbaan,59,2230,Herselt
Boelenaar,4,9031,Gent
Wolterslaan,127,9040,Gent
Terheydestraat,22,1640,Sint-Genesius-Rode
Brandstraat,20,9870,Zulte
Jozef Stormsstraat,42,2660,Antwerpen
Bruggestraat,103,8830,Hooglede
Boudewijnlaan,49,8300,Knokke-Heist
Langenbos,4,8791,Waregem
Wallestraat,2,9506,Geraardsbergen
Korte Lindenstraat,17,9300,Aalst
Larenstraat,68,3560,Lummen
Félix Wittouckstraat,43,1600,Sint-Pieters-Leeuw
Geraniumlaan,20,8790,Waregem
Tongerlostraat,4,2380,Ravels
Kattenbos,82,1750,Lennik
Molenstraat,58,8800,Roeselare
Lange Haagstraat,60,1700,Dilbeek
Lange Zavelstraat,47,2060,Antwerpen
Luciëndallaan,36,3800,Sint-Truiden
Turnhoutsebaan,197,2970,Schilde
Vogelkerslaan,1,2950,Kapellen
Kruisbergstraat,9,9230,Wetteren
Kwakkelstraat,134,1800,Vilvoorde
Uilenstraat,13,9100,Sint-Niklaas
Meldertsebaan,1B,3560,Lummen
Eikenstraat,3,8530,Harelbeke
Zonnelaan,15,8500,Kortrijk
Vaartstraat,25,2340,Beerse
Groot-Bijgaardenstraat,368,1601,Sint-Pieters-Leeuw
Ganzenkoor,43,2570,Duffel
Sparrenstraat,3,2020,Antwerpen
Burgemeester Lemmensstraat,40A,9220,Hamme
Grote Steenweg,376,3350,Linter
Lijsterlaan,55,8790,Waregem
Lindestraat,19,1785,Merchtem
Veldstraat,197,9140,Temse
Provenplein,1,8972,Poperinge
Boezingestraat,22,8920,Langemark-Poelkapelle
Fregatstraat,14,9000,Gent
Sint-Katarinastraat,177,8310,Brugge
Het Schoemeken,3,2970,Schilde
O. L. Vrouwstraat,203,3570,Alken
Leuvenselaan,88,3300,Tienen
Kerkplein,20,3582,Beringen
Merelstraat,1,9340,Lede
Schoonzichtstraat,4,8670,Koksijde
Bruggestraat,245,8770,Ingelmunster
Louisastraat,46,3120,Tremelo
Brouwersstraat,2,3190,Boortmeerbeek
Humbeeksebaan,202,1980,Zemst
Nelemeersstraat,48,9830,Sint-Martens-Latem
Bellevuestraat,59,8870,Izegem
Scheldestraat,100,9040,Gent
Dendermondsesteenweg,53,9000,Gent
Winterslagstraat,219,3600,Genk
Kleine Daelvenne,4,9290,Berlare
Putstraat,7,3471,Kortenaken
Heesterweg,5,2450,Meerhout
Tiensesteenweg,214,3800,Sint-Truiden
Vuurmolenstraat,33,2610,Antwerpen
Molenstraat,43,9700,Oudenaarde
Aartrijkestraat,147,8480,Ichtegem
Kleine d'Oyestraat,11,3800,Sint-Truiden
Belvédèreweg,183,9000,Gent
Lippenslaan,196,8300,Knokke-Heist
Kalkoenlaan,12,9032,Gent
De Bosschaertstraat,261,2020,Antwerpen
Kikvorsstraat,1555,9000,Gent
Veldstraat,35,8780,Oostrozebeke
Vennestraat,31,9230,Wetteren
Stwg. op Aalst,198A,1745,Opwijk
Steenweg,716,9472,Denderleeuw
Hoveniersstraat,117,1800,Vilvoorde
Meysveld,44,9280,Lebbeke
Veldstraat,5,8830,Hooglede
Kleine Stadenstraat,120,8830,Hooglede
Spiegelhofstraat,30,9000,Gent
Pelikaanstraat,99,2018,Antwerpen
Mezenstraat,11,2800,Mechelen
Groendyk,146,8670,Koksijde
Waesbergdries,1,9570,Lierde
Heilig Hartlaan,17,1730,Asse
Kleistraat,5,9680,Maarkedal
Polderstraat,53,2800,Mechelen
Moerkerkestraat,38,8000,Brugge
Molenlei,17,2650,Edegem
Bassegembosstraat,21,8573,Anzegem
Fazantweg,4,2223,Heist-op-den-Berg
Menenstraat,561,8560,Wevelgem
Nieuwe Baan,126,9111,Sint-Niklaas
Kluisdreef,11,9300,Aalst
Moleneind,21,2275,Lille
Annuntiatenstraat,58,8000,Brugge
Jean Jaurèslaan,27,8370,Blankenberge
Hogeweg,108,2800,Mechelen
Bollestraat,65,8820,Torhout
Hoogstraat,26,9250,Waasmunster
Bollenberg,100,3210,Lubbeek
Vissersstraat,21,8301,Knokke-Heist
Wilbroek,7,3583,Beringen
Stationsstraat,50,2440,Geel
Anjerstraat,19,2850,Boom
Heelblok,31,3300,Tienen
Roeselarestraat,75,8840,Staden
Elfdagwandkouter,2,9700,Oudenaarde
Hoevensebaan,244,2950,Kapellen
Kerkkouterstraat,14,9520,Sint-Lievens-Houtem
Rozenlaan,31,9990,Maldegem
Steenhuffelstraat,6,1861,Meise
Oude Vijverweg,10,1653,Beersel
Steenweg op Drogenbos,267,1620,Drogenbos
Leynseelstraat,87,8580,Avelgem
Ter Beke,21,2650,Edegem
Jan Breydelstraat,50,8770,Ingelmunster
Schoolstraat,71,2820,Bonheiden
Rijschoolstraat,15,3300,Tienen
Martelarenstraat,21,3970,Leopoldsburg
Steenweg op Aalst,98,9620,Zottegem
Spijkerlaan,57,8791,Waregem
Woluweveld,61,1932,Zaventem
Godshuisstraat,50,1861,Meise
Vijfde Bosdreef,28,2275,Lille
Alfred Nobelstraat,26,2812,Mechelen
Flanelstraat,28,9030,Gent
Luipegem,149,2880,Bornem
Aaigemstraat,94,9000,Gent
Zilverlaan,310,8400,Oostende
Antwerpsesteenweg,242,2350,Vosselaar
Boerenkrijglaan,78,2260,Westerlo
Rietweg,2,2328,Hoogstraten
Dokter De Moorstraat,63,9300,Aalst
Molenbergstraat,5,9340,Lede
Frankfurtlaan,16,2400,Mol
Tinnenpotstraat,10,8870,Izegem
Heidebergstraat,96,3010,Leuven
Donystraat,87,3300,Tienen
J.B. Devlemincklaan,92,1930,Zaventem
Wolfaardstraat,38,8800,Roeselare
Edingseweg,262,9500,Geraardsbergen
Appeldonkstraat,99,2830,Willebroek
Toekomststraat,35,3590,Diepenbeek
Baliestraat,60,9000,Gent
Architect Vanhoornelaan,39,8560,Wevelgem
Houwaartstraat,219,3270,Scherpenheuvel-Zichem
Vijverslaan,5,8020,Oostkamp
Ajoy Van Deurenstraat,7,8830,Hooglede
Brusselstraat,124,1740,Ternat
Bosstraat,80,2861,Sint-Katelijne-Waver
Nieuwstraat,72,2200,Herentals
Stationsstraat,47,3110,Rotselaar
Betlehem,17,8930,Menen
Dallaan,33,1933,Zaventem
Douvieweg,50,8978,Poperinge
Rattepas,13,9860,Oosterzele
Kerselarenstraat,56,3071,Kortenberg
Northlaan,13,8400,Oostende
Fr. Robbrechtsstraat,55,1780,Wemmel
Bomerstraat,5,3990,Peer
Acacialaan,4,2390,Malle
Hoogstraat,96,2570,Duffel
Kaaskerkestraat,63,8600,Diksmuide
Rotemerlaan,54,3680,Maaseik
Nieuwhof,35,9000,Gent
Beeldhouwersstraat,3,9040,Gent
Ravenakkerstraat,16,9310,Aalst
Boezingepoortstraat,4,8900,Ieper
Zwarte-Beeklaan,18,2950,Kapellen
Drielindenbaan,37,1785,Merchtem
Sint-Marcusweg,2,2820,Bonheiden
Herentalsebaan,127,2240,Zandhoven
Aalmoezeniersstraat,10,8900,Ieper
Kortessemstraat,31,3830,Wellen
Monnikenhofstraat,72,2040,Antwerpen
Hoolst,29,2490,Balen
Kardinaal Cardijnlaan,39,8870,Izegem
Kaphaanlei,238,2640,Mortsel
Mandelstraat,68,8870,Izegem
Albert Liénartstraat,13,9300,Aalst
Sint-Bernadettestraat,566,9000,Gent
Spinnerijstraat,39,8530,Harelbeke
Eduard Prissestraat,36,9100,Sint-Niklaas
René De Pauwstraat,25,2950,Kapellen
Meeuwenstraat,4,2170,Antwerpen
Prins Boudewijnstraat,38,8800,Roeselare
Scheldelaan,2,2030,Antwerpen
Waterhoenlaan,4,9032,Gent
Statiestraat,18,2547,Lint
Koningin Astridlaan,65,8530,Harelbeke
Hombeeksesteenweg,98,2800,Mechelen
Vianderdal,14,3300,Tienen
Roeselaarseweg,7,8820,Torhout
Kwadestraat,147,8560,Wevelgem
Watermolenweg,31,9260,Wichelen
Lattenklieversstraat,11,8730,Beernem
Rijfstraat,17,3920,Lommel
Frilinglei,150,2930,Brasschaat
Alfons Asselbergslaan,7,3080,Tervuren
David Teniersweg,5,1861,Meise
Ommegangstraat,18A,3890,Gingelom
